pincode,statename,city,Districtname,
472221,Madhya pradesh,Palera,Tikamgarh,
472246,Madhya pradesh,Orchha,Niwari,
472331,Madhya pradesh,Baldeogarh,Tikamgarh,
472336,Madhya pradesh,Tikamgarh,Niwari,
472337,Madhya pradesh,Tikamgarh,Niwari,
472339,Madhya pradesh,Baldeogarh,Tikamgarh,
472442,Madhya pradesh,Niwari,Niwari,
472445,Madhya pradesh,Tikamgarh,Niwari,
472447,Madhya pradesh,Tikamgarh,Niwari,
473001,Madhya pradesh,Guna,Guna,
473101,Madhya pradesh,Guna,Guna,
473105,Madhya pradesh,Bamori,Guna,
473110,Madhya pradesh,Raghogarh,Guna,
473111,Madhya pradesh,Raghogarh,Guna,
473112,Madhya pradesh,Raghogarh,Guna,
473113,Madhya pradesh,Guna,Guna,
473115,Madhya pradesh,Chacauda,Guna,
473118,Madhya pradesh,Chachauda,Guna,
473222,Madhya pradesh,Kumbhraj,Guna,
473226,Madhya pradesh,Raghogarh,Guna,
473249,Madhya pradesh,Guna,Guna,
473287,Madhya pradesh,Maksudangarh,Guna,
473330,Madhya pradesh,Ashoknagar,Ashoknagar,
473331,Madhya pradesh,Ashok Nagar,Ashoknagar,
473332,Madhya pradesh,Ashoknagar,Ashoknagar,
473335,Madhya pradesh,Esagarh,Ashoknagar,
473440,Madhya pradesh,Mungaoli,Ashoknagar,
473443,Madhya pradesh,Mungaoli,Ashoknagar,
473444,Madhya pradesh,Mungaoli,Ashoknagar,
473445,Madhya pradesh,Ashoknagar,Ashoknagar,
473446,Madhya pradesh,Chanderi,Ashoknagar,
473551,Madhya pradesh,Shivpuri,Shivpuri,
473585,Madhya pradesh,Khaniadhana,Shivpuri,
473638,Madhya pradesh,Shivpuri,Shivpuri,
473660,Madhya pradesh,Karera,Shivpuri,
473662,Madhya pradesh,Karera,Shivpuri,
473665,Madhya pradesh,Karera,Shivpuri,
473670,Madhya pradesh,Pichhore,Shivpuri,
473770,Madhya pradesh,Kolaras,Shivpuri,
473774,Madhya pradesh,Kolaras,Shivpuri,
473775,Madhya pradesh,Pohri,Shivpuri,
473781,Madhya pradesh,Kolaras,Shivpuri,
473793,Madhya pradesh,Pohri,Shivpuri,
473865,Madhya pradesh,Narwar,Shivpuri,
473880,Madhya pradesh,Narwar,Shivpuri,
473885,Madhya pradesh,Kolaras,Shivpuri,
473990,Madhya pradesh,Khaniadhana,Shivpuri,
473995,Madhya pradesh,Pichhore,Shivpuri,
474001,Madhya pradesh,Gwalior,Gwalior,
474002,Madhya pradesh,Gird,Gwalior,
474003,Madhya pradesh,Gird,Gwalior,
474004,Madhya pradesh,Gird,Gwalior,
474005,Madhya pradesh,Gwalior,Gwalior,
474006,Madhya pradesh,Gwalior,Gwalior,
474007,Madhya pradesh,Gird,Gwalior,
474008,Madhya pradesh,Gird,Gwalior,
474009,Madhya pradesh,Gird,Gwalior,
474010,Madhya pradesh,Gwalior,Gwalior,
474011,Madhya pradesh,Gird,Gwalior,
474012,Madhya pradesh,Gird,Gwalior,
474015,Madhya pradesh,Gird,Gwalior,
474020,Madhya pradesh,Morar,Gwalior,
475001,Madhya pradesh,Gwalior,Gwalior,
475002,Madhya pradesh,Gwalior,Gwalior,
475005,Madhya pradesh,Gwalior,Gwalior,
475110,Madhya pradesh,Dabra,Gwalior,
475115,Madhya pradesh,Dabra,Gwalior,
475220,Madhya pradesh,Bhitarwar,Gwalior,
475330,Madhya pradesh,Gwalior,Gwalior,
475335,Madhya pradesh,Bhandair,Datia,
475336,Madhya pradesh,Bhandair,Datia,
475661,Madhya pradesh,Datia,Datia,
475671,Madhya pradesh,Datia,Datia,
475673,Madhya pradesh,Seondha,Datia,
475675,Madhya pradesh,Indergarh,Datia,
475682,Madhya pradesh,Seondha,Datia,
475685,Madhya pradesh,Datia,Datia,
475686,Madhya pradesh,Gird,Datia,
476001,Madhya pradesh,Morena,Morena,
476111,Madhya pradesh,Ambah,Morena,
476115,Madhya pradesh,Porsa,Morena,
476134,Madhya pradesh,Ambah,Morena,
476219,Madhya pradesh,Joura,Morena,
476221,Madhya pradesh,Joura,Morena,
476224,Madhya pradesh,Kailaras,Morena,
476228,Madhya pradesh,Joura,Morena,
476229,Madhya pradesh,Sabalgarh,Morena,
476332,Madhya pradesh,Bijaypur,Sheopur,
476335,Madhya pradesh,Bijaypur,Sheopur,
476337,Madhya pradesh,Sheopur,Sheopur,
476339,Madhya pradesh,Sheopur,Sheopur,
476355,Madhya pradesh,Karahal,Sheopur,
476444,Madhya pradesh,Morena,Morena,
476554,Madhya pradesh,Ambah,Morena,
477001,Madhya pradesh,Bhind,Bhind,
477105,Madhya pradesh,Bhind,Bhind,
477111,Madhya pradesh,Attair,Bhind,
477116,Madhya pradesh,Gohad,Bhind,
477117,Madhya pradesh,Gohad,Bhind,
477222,Madhya pradesh,Mehgoun,Bhind,
477227,Madhya pradesh,Mehgoun,Bhind,
477331,Madhya pradesh,Bhind,Bhind,
477332,Madhya pradesh,Bhind,Bhind,
477333,Madhya pradesh,Bhind,Bhind,
477335,Madhya pradesh,Ron,Bhind,
477441,Madhya pradesh,Mihona,Bhind,
477445,Madhya pradesh,Lahar,Bhind,
477446,Madhya pradesh,Lahar,Bhind,
477447,Madhya pradesh,Lahar,Bhind,
477449,Madhya pradesh,Lahar,Bhind,
477450,Madhya pradesh,Bhind,Bhind,
477555,Madhya pradesh,Ater,Bhind,
477557,Madhya pradesh,Mehgoun,Bhind,
477566,Madhya pradesh,Bhind,Bhind,
477660,Madhya pradesh,Mehgoun,Bhind,
480001,Madhya pradesh,Chhindwara,Chhindwara,
480003,Madhya pradesh,Chhindwara,Chhindwara,
480105,Madhya pradesh,Sausar,Chhindwara,
480106,Madhya pradesh,Chhindwara,Chhindwara,
480107,Madhya pradesh,Chhindwara,Chhindwara,
480108,Madhya pradesh,Sausar,Chhindwara,
480109,Madhya pradesh,Sausar,Chhindwara,
480110,Madhya pradesh,Chaurai,Chhindwara,
480111,Madhya pradesh,Bichhua,Chhindwara,
480112,Madhya pradesh,Chhindwara,Chhindwara,
480115,Madhya pradesh,Chourak,Chhindwara,
480221,Madhya pradesh,Amarwara,Chhindwara,
480223,Madhya pradesh,Amarwara,Chhindwara,
480224,Madhya pradesh,Amarwara,Chhindwara,
480331,Madhya pradesh,Chhindwara,Chhindwara,
480334,Madhya pradesh,Chhindwara,Chhindwara,
480337,Madhya pradesh,Chhindwara,Chhindwara,
480338,Madhya pradesh,Pandhurna,Chhindwara,
480441,Madhya pradesh,Parasia,Chhindwara,
480447,Madhya pradesh,Chandametta,Chhindwara,
480449,Madhya pradesh,Junnardeo,Chhindwara,
480551,Madhya pradesh,Junnardeo,Chhindwara,
480555,Madhya pradesh,Parasia,Chhindwara,
480557,Madhya pradesh,Parasia,Chhindwara,
480559,Madhya pradesh,Tamia,Chhindwara,
480661,Madhya pradesh,Seoni,Seoni,
480667,Madhya pradesh,Barghat,Seoni,
480771,Madhya pradesh,Barghat,Seoni,
480880,Madhya pradesh,Korai,Seoni,
480881,Madhya pradesh,Korai,Seoni,
480882,Madhya pradesh,Seoni,Seoni,
480884,Madhya pradesh,Lakhanadon,Seoni,
480886,Madhya pradesh,Lakhnadon,Seoni,
480887,Madhya pradesh,Lakhnadon,Seoni,
480888,Madhya pradesh,Lakhanadon,Seoni,
480990,Madhya pradesh,Seoni,Seoni,
480991,Madhya pradesh,Keolari,Seoni,
480994,Madhya pradesh,Keolari,Seoni,
480996,Madhya pradesh,Keolari,Seoni,
480997,Madhya pradesh,Ghansore,Seoni,
480999,Madhya pradesh,Ghansore,Seoni,
481001,Madhya pradesh,Balaghat,Balaghat,
481051,Madhya pradesh,Baihar,Balaghat,
481102,Madhya pradesh,Balaghat,Balaghat,
481105,Madhya pradesh,Baihar,Balaghat,
481111,Madhya pradesh,Baihar,Balaghat,
481115,Madhya pradesh,Kirnapur,Balaghat,
481116,Madhya pradesh,Baihar,Balaghat,
481117,Madhya pradesh,Baihar,Balaghat,
481222,Madhya pradesh,Lanji,Balaghat,
481224,Madhya pradesh,Lanji,Balaghat,
481226,Madhya pradesh,Khairlanji,Balaghat,
481331,Madhya pradesh,Lalburra,Balaghat,
481332,Madhya pradesh,Katangi,Balaghat,
481335,Madhya pradesh,Waraseoni,Balaghat,
481337,Madhya pradesh,Khairlanji,Balaghat,
481441,Madhya pradesh,Lalbarra,Balaghat,
481445,Madhya pradesh,Katangi,Balaghat,
481449,Madhya pradesh,Tirodi,Balaghat,
481551,Madhya pradesh,Balaghat,Balaghat,
481556,Madhya pradesh,Baihar,Balaghat,
481661,Madhya pradesh,Mandla,Mandla,
481662,Madhya pradesh,Niwas,Mandla,
481663,Madhya pradesh,Mandla,Mandla,
481664,Madhya pradesh,Mandla,Mandla,
481665,Madhya pradesh,Balaghat,Mandla,
481666,Madhya pradesh,Mandla,Mandla,
481668,Madhya pradesh,Nainpur,Mandla,
481672,Madhya pradesh,Sahpura Niwas,Mandla,
481768,Madhya pradesh,Nainpur,Mandla,
481771,Madhya pradesh,Mandla,Mandla,
481776,Madhya pradesh,Nainpur,Mandla,
481778,Madhya pradesh,Dindori,Dindori,
481879,Madhya pradesh,Dindori,Dindori,
481880,Madhya pradesh,Dindori,Dindori,
481882,Madhya pradesh,Dindori,Dindori,
481883,Madhya pradesh,Dindori,Dindori,
481884,Madhya pradesh,Dindori,Dindori,
481885,Madhya pradesh,Niwas,Mandla,
481990,Madhya pradesh,Shahpura,Dindori,
481995,Madhya pradesh,Bhuabichhiya,Mandla,
481996,Madhya pradesh,Bhuabichhia,Mandla,
481998,Madhya pradesh,Bhua Bichhiya,Mandla,
482001,Madhya pradesh,Jabalpur,Jabalpur,
482002,Madhya pradesh,Jabalpur,Jabalpur,
482003,Madhya pradesh,Jabalpur,Jabalpur,
482004,Madhya pradesh,Jabalpur,Jabalpur,
482005,Madhya pradesh,Jabalpur,Jabalpur,
482008,Madhya pradesh,Jabalpur,Jabalpur,
482009,Madhya pradesh,Jabalpur,Jabalpur,
482010,Madhya pradesh,Jabalpur,Jabalpur,
482011,Madhya pradesh,Jabalpur,Jabalpur,
482020,Madhya pradesh,Jabalpur,Jabalpur,
482021,Madhya pradesh,Jabalpur,Jabalpur,
482051,Madhya pradesh,Jabalpur,Jabalpur,
482056,Madhya pradesh,Jabalpur,Jabalpur,
483001,Madhya pradesh,Jabalpur,Jabalpur,
483053,Madhya pradesh,Jabalpur,Jabalpur,
483105,Madhya pradesh,Patan,Jabalpur,
483110,Madhya pradesh,Kundam,Jabalpur,
483113,Madhya pradesh,Patan,Jabalpur,
483119,Madhya pradesh,Patan,Jabalpur,
483220,Madhya pradesh,Jabalpur,Jabalpur,
483222,Madhya pradesh,Sihora,Jabalpur,
483225,Madhya pradesh,Sihora,Jabalpur,
483330,Madhya pradesh,Katni,Katni,
483331,Madhya pradesh,Katni,Katni,
483332,Madhya pradesh,Sihora,Katni,
483334,Madhya pradesh,Sihora,Katni,
483336,Madhya pradesh,Sihora,Jabalpur,
483440,Madhya pradesh,Sihora,Katni,
483442,Madhya pradesh,Katni,Katni,
483501,Madhya pradesh,Katni,Katni,
483504,Madhya pradesh,Murwara,Katni,
483770,Madhya pradesh,Vijayaraghavgarh,Katni,
483773,Madhya pradesh,Katni,Katni,
483775,Madhya pradesh,Ijayaraghavgarh.,Katni,
483880,Madhya pradesh,Vijayaraghavgarh,Katni,
483990,Madhya pradesh,Rithi,Katni,
484001,Madhya pradesh,B. Pali,Shahdol,
484110,Madhya pradesh,Sohagpur,Shahdol,
484113,Madhya pradesh,Jaithari,Anuppur,
484114,Madhya pradesh,Sohagpur,Shahdol,
484116,Madhya pradesh,Anuppur,Shahdol,
484117,Madhya pradesh,Sohagpur,Shahdol,
484120,Madhya pradesh,Sohagpur,Anuppur,
484220,Madhya pradesh,Anuppur,Anuppur,
484224,Madhya pradesh,Pushparajgarh,Anuppur,
484330,Madhya pradesh,Jaithari,Anuppur,
484334,Madhya pradesh,Kotma,Anuppur,
484336,Madhya pradesh,Kotma,Anuppur,
484440,Madhya pradesh,Kotma,Anuppur,
484444,Madhya pradesh,Kotma,Anuppur,
484446,Madhya pradesh,Jaisinghnagar,Anuppur,
484447,Madhya pradesh,Anuppur,Anuppur,
484551,Madhya pradesh,Birsinghpur Pali,Umaria,
484555,Madhya pradesh,Anuppur,Umaria,
484660,Madhya pradesh,Umaria,Umaria,
484661,Madhya pradesh,Umaria,Umaria,
484664,Madhya pradesh,Umaria,Umaria,
484665,Madhya pradesh,Bandhogarh,Umaria,
484669,Madhya pradesh,Burhar,Shahdol,
484770,Madhya pradesh,Sohagpur,Shahdol,
484771,Madhya pradesh,Jaisinghnagar,Shahdol,
484774,Madhya pradesh,Beohari,Shahdol,
484776,Madhya pradesh,Beohari,Shahdol,
484881,Madhya pradesh,Pushparajgarh,Anuppur,
484886,Madhya pradesh,Pushparajgarh,Anuppur,
484887,Madhya pradesh,Pushprajgarh,Anuppur,
485001,Madhya pradesh,Raghurajnagar,Satna,
485005,Madhya pradesh,Raghurajnagar,Satna,
485111,Madhya pradesh,Rampur-Baghelan,Satna,
485112,Madhya pradesh,Raghurajnagar,Satna,
485113,Madhya pradesh,Raghurajnagar,Satna,
485114,Madhya pradesh,Raghurajnagar,Satna,
485115,Madhya pradesh,Rampur-Baghelan,Satna,
485221,Madhya pradesh,Nagod,Satna,
485226,Madhya pradesh,Nagod,Satna,
485331,Madhya pradesh,Nagod,Satna,
485334,Madhya pradesh,Raghurajnagar,Satna,
485441,Madhya pradesh,Raghurajnagar,Satna,
485446,Madhya pradesh,Nagod,Satna,
485447,Madhya pradesh,Nagod,Satna,
485551,Madhya pradesh,Nagod,Satna,
485661,Madhya pradesh,Unchehara,Satna,
485666,Madhya pradesh,Raghurajnagar,Satna,
485771,Madhya pradesh,Maihar,Satna,
485772,Madhya pradesh,Maihar,Satna,
485773,Madhya pradesh,SATNA,Satna,
485774,Madhya pradesh,Amarpatan,Satna,
485775,Madhya pradesh,Amarpatan,Satna,
485778,Madhya pradesh,Amarpatan,Satna,
485881,Madhya pradesh,Ramnagar,Satna,
486001,Madhya pradesh,Huzur,Rewa,
486002,Madhya pradesh,Huzur,Rewa,
486003,Madhya pradesh,Huzur,Rewa,
486004,Madhya pradesh,REWA,Rewa,
486005,Madhya pradesh,Huzur,Rewa,
486006,Madhya pradesh,Huzur,Rewa,
486111,Madhya pradesh,Sirmour,Rewa,
486114,Madhya pradesh,Raipur - Karchuliyan,Rewa,
486115,Madhya pradesh,Sirmour,Rewa,
486117,Madhya pradesh,Teonthar,Rewa,
486123,Madhya pradesh,Raipur - Karchuliyan,Rewa,
486220,Madhya pradesh,Teonthar,Rewa,
486223,Madhya pradesh,REWA,Rewa,
486226,Madhya pradesh,Teonthar,Rewa,
486331,Madhya pradesh,Mauganj,Rewa,
486333,Madhya pradesh,Mauganj,Rewa,
486335,Madhya pradesh,Hanumana,Rewa,
486338,Madhya pradesh,Mauganj,Rewa,
486340,Madhya pradesh,Teonthar,Rewa,
486341,Madhya pradesh,Mauganj,Rewa,
486440,Madhya pradesh,Sirmour,Rewa,
486441,Madhya pradesh,Sirmour,Rewa,
486445,Madhya pradesh,Sirmour,Rewa,
486446,Madhya pradesh,Sirmour,Rewa,
486447,Madhya pradesh,Teonthar,Rewa,
486448,Madhya pradesh,Sirmour,Rewa,
486450,Madhya pradesh,Huzur,Rewa,
486550,Madhya pradesh,Huzur,Rewa,
486553,Madhya pradesh,Gurh,Rewa,
486556,Madhya pradesh,Teonthar,Rewa,
486661,Madhya pradesh,Gopad Vanas,Sidhi,
486666,Madhya pradesh,Majauli,Sidhi,
486669,Madhya pradesh,Majauli,Sidhi,
486670,Madhya pradesh,Sihawal,Sidhi,
486675,Madhya pradesh,Sidhi,Sidhi,
486771,Madhya pradesh,Churhat,Sidhi,
486775,Madhya pradesh,Rampur Naikin,Sidhi,
486776,Madhya pradesh,Rampur Naikin,Sidhi,
486881,Madhya pradesh,Devsar,Singrauli,
486882,Madhya pradesh,Chitrangi,Singrauli,
486884,Madhya pradesh,Gopadbanas,Singrauli,
486885,Madhya pradesh,Singrauli,Singrauli,
486886,Madhya pradesh,Singrauli Colliery,Singrauli,
486887,Madhya pradesh,Singrauli,Singrauli,
486888,Madhya pradesh,Singrauli,Singrauli,
486889,Madhya pradesh,Singrauli Colliery,Singrauli,
486890,Madhya pradesh,Gopadbanas,Singrauli,
486892,Madhya pradesh,Chitrangi,Singrauli,
487001,Madhya pradesh,NARSINGHPUR,Narsinghpur,
487110,Madhya pradesh,Narsimhapur,Narsinghpur,
487114,Madhya pradesh,Narsimhapur,Narsinghpur,
487118,Madhya pradesh,NARSINGHPUR,Narsinghpur,
487221,Madhya pradesh,NARSINGHPUR,Narsinghpur,
487225,Madhya pradesh,Gadarwara,Narsinghpur,
487330,Madhya pradesh,Kareli,Narsinghpur,
487334,Madhya pradesh,Tendukheda,Narsinghpur,
487337,Madhya pradesh,Tendukheda,Narsinghpur,
487441,Madhya pradesh,Gadarwara,Narsinghpur,
487551,Madhya pradesh,NARSINGHPUR,Narsinghpur,
487555,Madhya pradesh,NARSINGHPUR,Narsinghpur,
487661,Madhya pradesh,NARSINGHPUR,Narsinghpur,
487770,Madhya pradesh,Gadarwara,Narsinghpur,
487881,Madhya pradesh,NARSINGHPUR,Narsinghpur,
488001,Madhya pradesh,Panna,Panna,
488050,Madhya pradesh,Panna,Panna,
488059,Madhya pradesh,Gunnor,Panna,
488220,Madhya pradesh,Ajaigarh,Panna,
488222,Madhya pradesh,Panna,Panna,
488333,Madhya pradesh,Devendra Nagar,Panna,
488441,Madhya pradesh,Panna,Panna,
488442,Madhya pradesh,Baldeogarh,Panna,
488443,Madhya pradesh,Raipura,Panna,
488446,Madhya pradesh,Pawai,Panna,
488448,Madhya pradesh,Pawai,Panna,
490001,Chhattisgarh,Durg,Durg,
490006,Chhattisgarh,Durg,Durg,
490009,Chhattisgarh,Durg,Durg,
490011,Chhattisgarh,Durg,Durg,
490020,Chhattisgarh,Durg,Durg,
490021,Chhattisgarh,Durg,Durg,
490022,Chhattisgarh,Durg,Durg,
490023,Chhattisgarh,Durg,Durg,
490024,Chhattisgarh,Durg,Durg,
490025,Chhattisgarh,Durg,Durg,
490026,Chhattisgarh,Durg,Durg,
490036,Chhattisgarh,Dhamdha,Durg,
490042,Chhattisgarh,Patan,Durg,
491001,Chhattisgarh,Durg,Durg,
491107,Chhattisgarh,Patan,Durg,
491111,Chhattisgarh,Patan,Durg,
491221,Chhattisgarh,Gunderdehi,Durg,
491222,Chhattisgarh,Gunderdehi,Balod,
491223,Chhattisgarh,Gunderdehi,Durg,
491225,Chhattisgarh,Gunderdehi,Balod,
491226,Chhattisgarh,Balod,Balod,
491227,Chhattisgarh,Gurur,Balod,
491228,Chhattisgarh,Dondi Awari,Balod,
491229,Chhattisgarh,Manpur,Rajnandgaon,
491230,Chhattisgarh,Balod,Balod,
491331,Chhattisgarh,Dhamdha,Bemetara,
491332,Chhattisgarh,Berla,Bemetara,
491335,Chhattisgarh,Bemetara,Bemetara,
491336,Chhattisgarh,Kawardha,Kabirdham,
491337,Chhattisgarh,Nawagarh,Bemetara,
491338,Chhattisgarh,Saja,Bemetara,
491340,Chhattisgarh,Nandghat,Bemetara,
491441,Chhattisgarh,Dongargaon,Rajnandgaon,
491444,Chhattisgarh,Rajnandgaon,Rajnandgaon,
491445,Chhattisgarh,Dongargarh,Rajnandgaon,
491557,Chhattisgarh,Chhuria,Rajnandgaon,
491558,Chhattisgarh,Dongargaon,Rajnandgaon,
491559,Chhattisgarh,Pandaria,Kabirdham,
491661,Chhattisgarh,Dongargaon,Rajnandgaon,
491665,Chhattisgarh,Ambagarh Chowk,Rajnandgaon,
491666,Chhattisgarh,Mohla,Rajnandgaon,
491668,Chhattisgarh,Ambagarh Chowki,Rajnandgaon,
491771,Chhattisgarh,Dondi Lohara,Balod,
491881,Chhattisgarh,Khairagarh,Rajnandgaon,
491885,Chhattisgarh,Chhuikhadan,Rajnandgaon,
491888,Chhattisgarh,Khairagarh,Rajnandgaon,
491993,Chhattisgarh,Saja,Bemetara,
491995,Chhattisgarh,Kawardha,Kabirdham,
491996,Chhattisgarh,KABIRDHAM,Kabirdham,
492001,Chhattisgarh,Raipur,Raipur,
492002,Chhattisgarh,Raipur,Raipur,
492003,Chhattisgarh,Raipur,Raipur,
492004,Chhattisgarh,Raipur,Raipur,
492005,Chhattisgarh,Raipur,Raipur,
492008,Chhattisgarh,Raipur,Raipur,
492009,Chhattisgarh,Raipur,Raipur,
492010,Chhattisgarh,Raipur,Raipur,
492012,Chhattisgarh,Raipur,Raipur,
492013,Chhattisgarh,Raipur,Raipur,
492014,Chhattisgarh,Raipur,Raipur,
492015,Chhattisgarh,Mana Camp,Raipur,
492016,Chhattisgarh,Raipur,Raipur,
492017,Chhattisgarh,Raipur,Raipur,
492018,Chhattisgarh,Raipur,Raipur,
492099,Chhattisgarh,Dharsiwa,Raipur,
492101,Chhattisgarh,Mandi R Hasod,Raipur,
492109,Chhattisgarh,Panduka,Dhamtari,
492112,Chhattisgarh,Mahasamund,Mahasamund,
493101,Chhattisgarh,Simga,Baloda Bazar,
493111,Chhattisgarh,Manddar Cement Factory,Raipur,
493113,Chhattisgarh,Hathband,Baloda Bazar,
493114,Chhattisgarh,Neora,Raipur,
493116,Chhattisgarh,Raipur,Raipur,
493118,Chhattisgarh,Bhatapara,Baloda Bazar,
493195,Chhattisgarh,Hirmi,Baloda Bazar,
493196,Chhattisgarh,Grasim Vihar Rawan,Baloda Bazar,
493221,Chhattisgarh,Raipur,Raipur,
493222,Chhattisgarh,Bilaigarh,Baloda Bazar,
493225,Chhattisgarh,Kharora,Raipur,
493228,Chhattisgarh,Pallari,Baloda Bazar,
493229,Chhattisgarh,Watgan,Baloda Bazar,
493331,Chhattisgarh,Rawan,Baloda Bazar,
493332,Chhattisgarh,Baloda Bazar,Baloda Bazar,
493335,Chhattisgarh,Kasdol,Baloda Bazar,
493338,Chhattisgarh,Bilaigarh,Baloda Bazar,
493344,Chhattisgarh,Katgi,Baloda Bazar,
493441,Chhattisgarh,Arang,Raipur,
493445,Chhattisgarh,Mahasamund,Mahasamund,
493448,Chhattisgarh,GP Village Bhotha,Kanker,
493449,Chhattisgarh,Mahasamund,Mahasamund,
493526,Chhattisgarh,Lawan,Baloda Bazar,
493551,Chhattisgarh,Pithora,Mahasamund,
493554,Chhattisgarh,Bsna,Mahasamund,
493555,Chhattisgarh,Jagdishpur,Mahasamund,
493558,Chhattisgarh,Saraipali,Mahasamund,
493559,Chhattisgarh,Sarsiwa,Baloda Bazar,
493661,Chhattisgarh,Abhanpur,Raipur,
493662,Chhattisgarh,Kurud,Dhamtari,
493663,Chhattisgarh,Kurud,Dhamtari,
493770,Chhattisgarh,Kurud,Dhamtari,
493773,Chhattisgarh,Dhamtari,Dhamtari,
493776,Chhattisgarh,Rudri,Dhamtari,
493778,Chhattisgarh,Nagri,Dhamtari,
493881,Chhattisgarh,Rajim,Raipur,
493885,Chhattisgarh,Rajim,Dhamtari,
493887,Chhattisgarh,Gariaband,Gariyaband,
493888,Chhattisgarh,Gariaband,Gariyaband,
493889,Chhattisgarh,Gariaband,Gariyaband,
493890,Chhattisgarh,Deobhog,Gariyaband,
493891,Chhattisgarh,Gariaband,Gariyaband,
493992,Chhattisgarh,Phingeshwar,Gariyaband,
493996,Chhattisgarh,Chhura,Gariyaband,
494001,Chhattisgarh,Jagdalpur,Bastar,
494010,Chhattisgarh,Jagdalpur,Bastar,
494111,Chhattisgarh,Konta,Sukma,
494114,Chhattisgarh,Konta,Sukma,
494115,Chhattisgarh,Konta,Sukma,
494122,Chhattisgarh,Konta,Sukma,
494221,Chhattisgarh,Jagdalpur,Bastar,
494222,Chhattisgarh,Jagdalpur,Bastar,
494223,Chhattisgarh,Jagdalpur,Bastar,
494224,Chhattisgarh,Jagdalpur,Bastar,
494226,Chhattisgarh,Kondagaon,Kondagaon,
494228,Chhattisgarh,Keshkal,Kondagaon,
494229,Chhattisgarh,Keshkal,Kondagaon,
494230,Chhattisgarh,Keshkal,Kondagaon,
494237,Chhattisgarh,Kondagaon,Kondagaon,
494331,Chhattisgarh,Keshkal,Kondagaon,
494332,Chhattisgarh,KANKER,Kanker,
494333,Chhattisgarh,KANKER,Kanker,
494334,Chhattisgarh,KANKER,Kanker,
494335,Chhattisgarh,KANKER,Kanker,
494336,Chhattisgarh,KANKER,Kanker,
494337,Chhattisgarh,KANKER,Kanker,
494347,Chhattisgarh,Keshkal,Kondagaon,
494441,Chhattisgarh,Danteawada,Dantewada,
494442,Chhattisgarh,Jagdalpur,Bastar,
494444,Chhattisgarh,Bijapur,Bijapur,
494446,Chhattisgarh,Bhopalpatnam,Bijapur,
494447,Chhattisgarh,Bhopalpatnam,Bijapur,
494448,Chhattisgarh,Bhopalpatnam,Bijapur,
494449,Chhattisgarh,Dantaewada,Dantewada,
494450,Chhattisgarh,Bijapur,Bijapur,
494552,Chhattisgarh,Dantewada,Dantewada,
494553,Chhattisgarh,Dantewada,Dantewada,
494556,Chhattisgarh,Dantewada,Dantewada,
494635,Chhattisgarh,Bhanupratappur,Kanker,
494661,Chhattisgarh,Narayanpur,Narayanpur,
494665,Chhattisgarh,Antagarh,Kanker,
494669,Chhattisgarh,Bhaupratappur,Kanker,
494670,Chhattisgarh,KANKER,Kanker,
494771,Chhattisgarh,Pakhanjore,Kanker,
494776,Chhattisgarh,Pakhanjore,Kanker,
494777,Chhattisgarh,Pakhanjore,Kanker,
495001,Chhattisgarh,Bilaspur,Bilaspur,
495003,Chhattisgarh,Bilaspur,Bilaspur,
495004,Chhattisgarh,Bilaspur,Bilaspur,
495006,Chhattisgarh,Bilaspur,Bilaspur,
495009,Chhattisgarh,Koni,Bilaspur,
495112,Chhattisgarh,Ganiyari,Bilaspur,
495113,Chhattisgarh,Kargi Road,Bilaspur,
495115,Chhattisgarh,Lormi,Bilaspur,
495116,Chhattisgarh,Kargiroad,Bilaspur,
495117,Chhattisgarh,Pendra Road,Gaurella Pendra Marwahi,
495118,Chhattisgarh,Marwahi,Gaurella Pendra Marwahi,
495119,Chhattisgarh,Pendra,Gaurella Pendra Marwahi,
495220,Chhattisgarh,Bilha,Bilaspur,
495222,Chhattisgarh,Hirri Mines,Bilaspur,
495224,Chhattisgarh,Bilha,Bilaspur,
495330,Chhattisgarh,Takhatpur,Bilaspur,
495334,Chhattisgarh,Mungeli,Mungeli,
495335,Chhattisgarh,Patharia,Mungeli,
495442,Chhattisgarh,Ratanpur,Bilaspur,
495444,Chhattisgarh,KORBA,Korba,
495445,Chhattisgarh,Katghora,Korba,
495446,Chhattisgarh,Hardibazar,Korba,
495447,Chhattisgarh,Katghora,Korba,
495448,Chhattisgarh,Machadoli,Korba,
495449,Chhattisgarh,PALI,Korba,
495450,Chhattisgarh,Jamnipali,Korba,
495452,Chhattisgarh,KORBA,Korba,
495454,Chhattisgarh,Kusmunda,Korba,
495455,Chhattisgarh,KORBA,Korba,
495550,Chhattisgarh,Jairamnagar,Bilaspur,
495551,Chhattisgarh,Masturi,Bilaspur,
495552,Chhattisgarh,JANJGIR-CHAMPA,Janjgir-Champa,
495553,Chhattisgarh,Nariyara,Janjgir-Champa,
495554,Chhattisgarh,Pamgarh,Janjgir-Champa,
495555,Chhattisgarh,Bilaspur,Bilaspur,
495556,Chhattisgarh,Kharod,Janjgir-Champa,
495557,Chhattisgarh,Seorinarayan,Janjgir-Champa,
495559,Chhattisgarh,Baloda,Janjgir-Champa,
495660,Chhattisgarh,JANJGIR-CHAMPA,Janjgir-Champa,
495661,Chhattisgarh,Champa,Janjgir-Champa,
495663,Chhattisgarh,Gopalnagar,Janjgir-Champa,
